,address,city
0,Fortebakken 4 , 8240 Risskov
1,Rundhøj Allé 7  3. tv , 8270 Højbjerg
2,Runegårdsvej 10 , 8270 Højbjerg
3,Moesgård Allé 20D  1. , 8270 Højbjerg
4,Anker Jensens Vej 9  1. th , 8230 Åbyhøj
5,Engkærgårds Allé 202A , 8340 Malling
6,Brobjerg Parkvej 83  st. tv , 8250 Egå
7,Onsholtgårdsvej 46  st. , 8260 Viby J
8,Åbyvej 157A  1. , 8230 Åbyhøj
9,Gøteborg Allé 5H  st. 1 , 8200 Aarhus N
10,Pilegårdsvej 195  Kolt , 8361 Hasselager
11,Hyrdevænget 19 , 8310 Tranbjerg J
12,Damagervej 4F , 8260 Viby J
13,Årslev Møllevej 39  Årslev , 8220 Brabrand
14,Ormslevvej 70C  1. 2 , 8260 Viby J
15,Damagervej 12C  st. 4 , 8260 Viby J
16,Torvevænget 1A  st. 10 , 8310 Tranbjerg J
17,Frederiks Allé 112  2. , 8000 Aarhus C
18,Vestergade 49A  st. , 8000 Aarhus C
19,Vestervang 28  5. mf , 8000 Aarhus C
20,Bedervej 88 , 8320 Mårslet
21,Lønvejen 12  2. th , 8000 Aarhus C
22,Guldsmedgade 25A  2. th , 8000 Aarhus C
23,Haveforeningen Solvangen 24 , 8230 Åbyhøj
24,Abildgade 21  st. th , 8200 Aarhus N
25,Lyngsiesvej 9 , 8230 Åbyhøj
26,Skovparken 78 , 8240 Risskov
27,Orholt Allé 23 , 8310 Tranbjerg J
28,Runevej 85  Hasle , 8210 Aarhus V
29,Silkeborgvej 28  5. 2 , 8000 Aarhus C
30,Lyshøjen 14B  1. , 8520 Lystrup
31,Løjenkærvej 11  Løjenkær , 8300 Odder
32,Kalkærparken 110A , 8270 Højbjerg
33,Skejbytoften 34  Skejby , 8200 Aarhus N
34,Egå Mosevej 27  st. 15 , 8250 Egå
35,Mariane Thomsens Gade 48  st. 2 , 8000 Aarhus C
36,Munkevænget 15 , 8250 Egå
37,Kristine Nielsens Gade 3  4. 2 , 8000 Aarhus C
38,Skt. Anna Gade 15 , 8000 Aarhus C
39,Novembervej 13  Hasle , 8210 Aarhus V
40,Skovgaardsgade 6  1. tv , 8000 Aarhus C
41,Jettesvej 13  1. tv , 8220 Brabrand
42,Sogneskellet 4 , 8250 Egå
43,Tordenskjoldsgade 9  4. , 8200 Aarhus N
44,Dan Turells Gade 34  3. 10 , 8000 Aarhus C
45,Bogfinkevej 13  2. th , 8210 Aarhus V
46,Montanagade 56  st. tv , 8000 Aarhus C
47,Ryhavevej 12  1. 10  Hasle , 8210 Aarhus V
48,Tulipanlunden 42 , 8200 Aarhus N
49,Sigridsvej 37  st. tv , 8220 Brabrand
